gene_list,time
hupB,500
mrdA,500
ybaL,1000
pykF,1000
mreC,1000
ybaL,1500
ybgL,1500
pykF,1500
stpA,1500
mreC,1500
dnaK,2000
ftsI,2000
ybaL,2000
pykF,2000
stpA,2000
mreC,2000
yaaU,5000
murD,5000
ftsZ,5000
yadS,5000
cdsA,5000
ECB_00212,5000
yahB,5000
lacI,5000
hemB,5000
yaiV,5000
ribD,5000
ybaE,5000
ybaL,5000
ybcM,5000
ECB_00529,5000
gltJ,5000
ybgE,5000
tolB,5000
ybiL,5000
artP,5000
focA,5000
rpsA,5000
ycbF,5000
pqiA,5000
pqiB,5000
torC,5000
plsX,5000
fabG,5000
ptsG,5000
trmU,5000
ymgC,5000
yciD,5000
ycjL,5000
ycjR,5000
ycjV,5000
ECB_01342,5000
ydcP,5000
yncG,5000
xasA,5000
gadB,5000
ECB_01534,5000
ydhS,5000
ydhS,5000
pykF,5000
pykF,5000
arpB,5000
astB,5000
zwf,5000
yeeJ,5000
cobU,5000
wbbB,5000
yegP,5000
yegQ,5000
yehT,5000
yeiT,5000
rihB,5000
yejE,5000
yejH,5000
rcsC,5000
gyrA,5000
nuoG,5000
yfcG,5000
flk,5000
evgS,5000
cysP,5000
eutB,5000
ygaF,5000
mutS,5000
relA,5000
ygdH,5000
mutH,5000
galR,5000
yqeB,5000
ygfK,5000
visC,5000
ECB_02798,5000
yafZ,5000
ECB_02838,5000
parC,5000
ygjP,5000
infB,5000
rplM,5000
mreC,5000
yhdT,5000
yhdG,5000
rrmB,5000
gspA,5000
prkB,5000
malP,5000
malT,5000
malT,5000
ugpE,5000
rpoH,5000
yhiH,5000
arsB,5000
yhjQ,5000
yhjQ,5000
ECB_03460,5000
ECB_03519,5000
yicM,5000
rfe,5000
pldA,5000
ECB_03715,5000
bipA,5000
hslU,5000
ftsN,5000
metL,5000
yijP,5000
argH,5000
iclR,5000
rpiR,5000
phnP,5000
phnJ,5000
phnI,5000
yjdF,5000
yjeM,5000
ECB_04072,5000
pepA,5000
yjhE,5000
uxuA,5000
hpaE,5000
arcA,5000
insL-1,10000
caiB,10000
yaaU,10000
araB,10000
ftsZ,10000
nadC,10000
aceF,10000
yadH,10000
yadC,10000
yadS,10000
lpxD,10000
lpxB,10000
ECB_00212,10000
dinJ,10000
yagQ,10000
yahB,10000
yahB,10000
yahF,10000
yahJ,10000
cynR,10000
lacI,10000
hemB,10000
ampH,10000
ribD,10000
thiL,10000
ybaE,10000
ybaL,10000
ushA,10000
ybaK,10000
copA,10000
ybbB,10000
ybbY,10000
allC,10000
ylbE,10000
ybcM,10000
appY,10000
nfrB,10000
ECB_00529,10000
fepD,10000
dcuC,10000
ybeV,10000
gltJ,10000
gltJ,10000
ybeZ,10000
nagD,10000
nagB,10000
nagE,10000
kdpD,10000
kdpB,10000
ybgP,10000
gltA,10000
ybgE,10000
pnuC,10000
modF,10000
ybhE,10000
ECB_00734,10000
ybiX,10000
ybiN,10000
ybiR,10000
ybjJ,10000
ECB_00817,10000
ybjN,10000
artP,10000
focA,10000
rpsA,10000
mukB,10000
pncB,10000
pqiA,10000
pqiB,10000
appB,10000
torC,10000
ycdJ,10000
grxB,10000
plsX,10000
fabG,10000
mfd,10000
ycfT,10000
trmU,10000
ymgC,10000
oppB,10000
trpE,10000
acnA,10000
pgpB,10000
ycjL,10000
dbpA,10000
ECB_01342,10000
ompN,10000
aldA,10000
yncD,10000
yncG,10000
yddV,10000
yddW,10000
xasA,10000
yneA,10000
ydfQ,10000
pntB,10000
uidB,10000
uidA,10000
nemA,10000
ydhB,10000
ydhC,10000
ydhS,10000
ydhS,10000
ydhY,10000
pykF,10000
pykF,10000
ydiO,10000
ydiQ,10000
arpB,10000
ydiY,10000
celB,10000
astB,10000
ydjG,10000
yeaG,10000
yeaG,10000
yeaU,10000
zwf,10000
zwf,10000
torY,10000
yeeJ,10000
hisB,10000
wcaA,10000
yegQ,10000
gatC,10000
yegW,10000
thiM,10000
molR,10000
yehQ,10000
yehT,10000
yeiT,10000
rihB,10000
yejB,10000
yejE,10000
yejH,10000
yejM,10000
yejO,10000
ccmF,10000
ccmF,10000
ccmD,10000
rcsC,10000
glpC,10000
menE,10000
nuoM,10000
nuoG,10000
nuoC,10000
yfbU,10000
yfcG,10000
flk,10000
fabB,10000
yfcS,10000
dsdA,10000
emrY,10000
evgS,10000
evgS,10000
ypdE,10000
cysA,10000
eutB,10000
eutA,10000
dapE,10000
hyfJ,10000
hmpA,10000
clpB,10000
yfiR,10000
csiD,10000
gshA,10000
hypE,10000
mutS,10000
ygbM,10000
cysH,10000
ygcN,10000
relA,10000
ygdH,10000
ECB_02651,10000
argA,10000
mutH,10000
ygdQ,10000
ygeZ,10000
yqeB,10000
yqeC,10000
ygfK,10000
ssnA,10000
recJ,10000
ygfB,10000
ECB_02798,10000
yeeU,10000
ECB_02835,10000
ECB_02838,10000
glcB,10000
yghO,10000
yghB,10000
parC,10000
