gene_list,time
rnhA,500
uvrB,500
topA,500
yijC,500
topA,1000
pykF,1000
yijO,1000
yijC,1000
topA,1500
pykF,1500
astD,1500
yhdX,1500
spoT,1500
topA,2000
ydbH,2000
pykF,2000
spoT,2000
ybaL,5000
mrdA,5000
nagC,5000
topA,5000
pykF,5000
pykF,5000
yegI,5000
ECB_02621,5000
infB,5000
malT,5000
spoT,5000
hslU,5000
fimA,5000
araJ,10000
ybaL,10000
mrdA,10000
nagC,10000
topA,10000
pykF,10000
yegI,10000
elaD,10000
yghJ,10000
infB,10000
gltB,10000
rpsM,10000
malT,10000
spoT,10000
hslU,10000
pflC,10000
hsdM,10000
pcnB,15000
insB-2,15000
araJ,15000
ybaL,15000
mrdA,15000
nagC,15000
dhaM,15000
topA,15000
pykF,15000
ynjI,15000
yegI,15000
yghJ,15000
yqiG,15000
ebgR,15000
infB,15000
arcB,15000
gltB,15000
rpsM,15000
malT,15000
yhhA,15000
spoT,15000
hslU,15000
pflC,15000
iclR,15000
fimA,15000
nadR,15000
pcnB,20000
insB-2,20000
araJ,20000
ybaL,20000
mrdA,20000
gltI,20000
nagC,20000
nagC,20000
dhaM,20000
topA,20000
pykF,20000
ynjI,20000
yegI,20000
ECB_02816,20000
yghJ,20000
ebgR,20000
infB,20000
arcB,20000
gltB,20000
rpsD,20000
rpsM,20000
malT,20000
glpE,20000
spoT,20000
hslU,20000
pflC,20000
iclR,20000
fimA,20000
nadR,20000
thrA,30000
nhaA,30000
caiT,30000
fixB,30000
araA,30000
tbpA,30000
leuA,30000
ftsW,30000
mutT,30000
aceE,30000
yadG,30000
yadC,30000
htrE,30000
pcnB,30000
fhuC,30000
yaeL,30000
ldcC,30000
rof,30000
rcsF,30000
yafS,30000
insB-2,30000
fhiA,30000
dinB,30000
ykgF,30000
yahK,30000
prpE,30000
mhpC,30000
mhpC,30000
frmA,30000
araJ,30000
secF,30000
yajI,30000
ribH,30000
cyoB,30000
ybaV,30000
ylaB,30000
maa,30000
kefA,30000
ybaL,30000
ybbP,30000
ybbB,30000
hyi,30000
ylbE,30000
ybbF,30000
cysS,30000
sfmH,30000
ybcM,30000
nfrA,30000
cusR,30000
fepC,30000
ybdL,30000
ybdM,30000
citC,30000
citC,30000
mrdA,30000
ybeR,30000
gltI,30000
ECB_00624,30000
nagC,30000
ybfM,30000
ybfM,30000
kdpB,30000
phrB,30000
ybgJ,30000
ybgK,30000
sucB,30000
sucC,30000
tolR,30000
ybgR,30000
galK,30000
ybhC,30000
ECB_00732,30000
moaA,30000
dinG,30000
ybiO,30000
ybiW,30000
yliG,30000
ECB_00833,30000
hcp,30000
ybjE,30000
macB,30000
ftsK,30000
ycaC,30000
pflB,30000
mukE,30000
ycbB,30000
ompF,30000
ycbS,30000
ycbY,30000
ycbY,30000
appC,30000
yccC,30000
yccY,30000
torA,30000
ycdI,30000
ycdJ,30000
putP,30000
ycdR,30000
ycdW,30000
csgB,30000
ymdC,30000
mdoC,30000
yceE,30000
pyrC,30000
fhuE,30000
ycfS,30000
mfd,30000
potD,30000
ymgC,30000
ycgG,30000
ycgH,30000
ECB_01147,30000
dhaM,30000
narL,30000
narX,30000
cls,30000
topA,30000
topA,30000
topA,30000
pyrF,30000
yciR,30000
sapA,30000
ycjL,30000
tyrR,30000
tyrR,30000
ycjY,30000
mppA,30000
ynaI,30000
ogt,30000
recE,30000
recE,30000
ydfQ,30000
ynaK,30000
ynbB,30000
ynbD,30000
ydcR,30000
yncB,30000
narY,30000
yddG,30000
fdnH,30000
sfcA,30000
xasA,30000
pqqL,30000
yddA,30000
ECB_01458,30000
hipA,30000
yneE,30000
eamA,30000
ydfI,30000
stfR,30000
ynfM,30000
ydgD,30000
rstA,30000
malI,30000
malI,30000
ydgK,30000
tyrS,30000
lhr,30000
ydhO,30000
ydhO,30000
pykF,30000
ynhG,30000
ydiN,30000
ydiF,30000
ydiA,30000
ydjO,30000
celF,30000
ynjI,30000
sppA,30000
ydjH,30000
ydjK,30000
gapA,30000
yeaM,30000
yoaB,30000
torY,30000
cheZ,30000
flhD,30000
uvrC,30000
uvrY,30000
yedZ,30000
yeeJ,30000
yeeO,30000
cbl,30000
gmd,30000
yegD,30000
yegI,30000
yegO,30000
ECB_02000,30000
yegV,30000
metG,30000
molR,30000
ECB_02057,30000
yehY,30000
yohF,30000
yohGH,30000
yohI,30000
yeiH,30000
yeiH,30000
yeiL,30000
yejE,30000
yejK,30000
napA,30000
rcsC,30000
atoS,30000
yfaA,30000
yfaL,30000
glpC,30000
arnT,30000
menC,30000
nuoM,30000
nuoG,30000
yfcE,30000
accD,30000
yfcB,30000
yfdW,30000
glk,30000
crr,30000
yfeU,30000
eutT,30000
talA,30000
acrD,30000
acrD,30000
gcvR,30000
hyfE,30000
uraA,30000
yphA,30000
yphD,30000
yphG,30000
yfhB,30000
yfiF,30000
yfiQ,30000
aroF,30000
ffh,30000
grpE,30000
ECB_02509,30000
nrdE,30000
ygaA,30000
ygcQ,30000
ECB_02621,30000
chpA,30000
barA,30000
barA,30000
barA,30000
barA,30000
gudX,30000
yqcB,30000
fucI,30000
fucK,30000
ygdI,30000
ygdI,30000
ygdL,30000
ptr,30000
recC,30000
ygdP,30000
mutH,30000
aas,30000
xdhA,30000
guaD,30000
dsbC,30000
ygfY,30000
visC,30000
sbm,30000
yggB,30000
yafZ,30000
ECB_02816,30000
ECB_02817,30000
ECB_02819,30000
ECB_02821,30000
yghG,30000
yghJ,30000
yghJ,30000
glcD,30000
ECB_02851,30000
ECB_02856,30000
ECB_02856,30000
ECB_02858,30000
yghQ,30000
gss,30000
yghA,30000
yghB,30000
ygiQ,30000
sufI,30000
parC,30000
parE,30000
ygiE,30000
yqiG,30000
glnE,30000
ygiF,30000
ygjD,30000
rpsU,30000
ebgR,30000
ebgA,30000
ygjK,30000
ygjU,30000
yqjG,30000
yhaI,30000
tdcG,30000
agaY,30000
agaB,30000
infB,30000
rrmJ,30000
rrmJ,30000
rrmJ,30000
murA,30000
mtgA,30000
arcB,30000
gltB,30000
nanK,30000
mreB,30000
rrmB,30000
zntR,30000
rpsD,30000
rpsM,30000
rpsM,30000
pckA,30000
yhgF,30000
malT,30000
rtcA,30000
glpE,30000
ECB_03279,30000
glgX,30000
yhgN,30000
ugpC,30000
livK,30000
yhhK,30000
livJ,30000
zntA,30000
yhhT,30000
acpT,30000
yhiJ,30000
yhiM,30000
yhiM,30000
gadA,30000
yhjA,30000
yhjA,30000
yhjD,30000
yhjO,30000
yhjX,30000
bisC,30000
xylA,30000
malS,30000
malS,30000
ECB_03438,30000
rhsA,30000
yibD,30000
waaW,30000
yicF,30000
spoT,30000
yicE,30000
ECB_03521,30000
ECB_03531,30000
yicK,30000
ade,30000
ade,30000
glvG,30000
glvBC,30000
yieH,30000
glmS,30000
glmS,30000
mioC,30000
yieN,30000
rep,30000
rep,30000
rffG,30000
yifK,30000
yigF,30000
rarD,30000
recQ,30000
recQ,30000
metE,30000
ECB_03720,30000
ECB_03721,30000
ECB_03723,30000
yigN,30000
ubiB,30000
yigZ,30000
polA,30000
bipA,30000
bipA,30000
yihO,30000
yihQ,30000
yiiD,30000
fdoG,30000
frvB,30000
frvA,30000
rhaD,30000
rhaD,30000
hslU,30000
ftsN,30000
metB,30000
ptsA,30000
ptsA,30000
pflC,30000
pflC,30000
ppc,30000
rpoB,30000
thiC,30000
yjaH,30000
iclR,30000
metH,30000
malE,30000
yjbI,30000
yjbN,30000
nrfC,30000
nrfG,30000
yjcP,30000
yjcP,30000
yjcZ,30000
proP,30000
basS,30000
groEL,30000
yjeF,30000
yjfJ,30000
yjfC,30000
aidB,30000
sgaH,30000
ECB_04071,30000
ECB_04076,30000
ytfR,30000
treB,30000
yjgF,30000
pyrI,30000
pyrB,30000
yjhB,30000
ECB_04152,30000
sgcR,30000
sgcC,30000
yjhT,30000
fimA,30000
gntP,30000
iadA,30000
yjiK,30000
yjiO,30000
hsdS,30000
hsdM,30000
hsdR,30000
hpaX,30000
yjiZ,30000
dnaT,30000
yjjG,30000
yjjI,30000
nadR,30000
thrA,40000
dnaK,40000
dnaJ,40000
rihC,40000
caiD,40000
apaG,40000
imp,40000
hepA,40000
polB,40000
araA,40000
tbpA,40000
setA,40000
leuC,40000
ilvI,40000
murG,40000
ftsZ,40000
mutT,40000
guaC,40000
hofC,40000
ampE,40000
aceE,40000
cueO,40000
yadG,40000
yadG,40000
yadD,40000
yadC,40000
htrE,40000
pcnB,40000
pcnB,40000
yadQ,40000
degP,40000
yaeL,40000
ldcC,40000
yaeR,40000
rof,40000
cutF,40000
yafD,40000
insB-2,40000
yhhI,40000
fhiA,40000
yafN,40000
yafA,40000
proA,40000
yagV,40000
yagW,40000
ykgF,40000
yahG,40000
yahI,40000
yahJ,40000
yahK,40000
prpE,40000
prpE,40000
lacA,40000
mhpC,40000
phoA,40000
araJ,40000
sbcC,40000
proY,40000
secF,40000
ribH,40000
thiI,40000
ppiD,40000
ybaE,40000
cof,40000
maa,40000
maa,40000
acrB,40000
kefA,40000
recR,40000
recR,40000
ybaL,40000
ushA,40000
ybbK,40000
ybbP,40000
ybbP,40000
gcl,40000
hyi,40000
cysS,40000
sfmD,40000
sfmH,40000
ybcK,40000
ybcM,40000
nfrA,40000
cusR,40000
entF,40000
entC,40000
cstA,40000
ybdM,40000
mrdA,40000
ybeA,40000
phpB,40000
holA,40000
ybeR,40000
hscC,40000
gltI,40000
nagC,40000
nagC,40000
fldA,40000
pgm,40000
kdpE,40000
kdpD,40000
kdpC,40000
kdpB,40000
phrB,40000
ybgJ,40000
ybgK,40000
sucB,40000
ybgG,40000
gpmA,40000
gpmA,40000
galE,40000
ybhE,40000
ybhC,40000
ECB_00726,40000
ECB_00726,40000
ECB_00732,40000
ECB_00738,40000
bioA,40000
ybhR,40000
ybiB,40000
ybiN,40000
ybiO,40000
glnH,40000
ybiT,40000
yliE,40000
yliG,40000
deoR,40000
ECB_00824,40000
ECB_00833,40000
ECB_00840,40000
ECB_00842,40000
potF,40000
ybjD,40000
macB,40000
clpA,40000
pflB,40000
msbA,40000
ycbB,40000
ompF,40000
pncB,40000
ycbS,40000
ycbS,40000
ycbG,40000
helD,40000
hyaB,40000
hyaC,40000
hyaC,40000
hyaE,40000
appC,40000
yccY,40000
yccZ,40000
cbpA,40000
ycdI,40000
ycdJ,40000
phoH,40000
ycdR,40000
ycdS,40000
ycdW,40000
ymdB,40000
ymdC,40000
pyrC,40000
flgA,40000
flgJ,40000
yceD,40000
fhuE,40000
fhuE,40000
ycfS,40000
pepT,40000
ycfC,40000
ymfC,40000
ymgC,40000
ycgG,40000
ycgH,40000
ycgH,40000
ycgK,40000
treA,40000
dhaM,40000
dhaM,40000
narX,40000
narX,40000
narK,40000
oppB,40000
cls,40000
yciC,40000
trpE,40000
topA,40000
topA,40000
topA,40000
cysB,40000
pgpB,40000
pyrF,40000
yciR,40000
fabI,40000
sapA,40000
ycjL,40000
ycjL,40000
goaG,40000
ycjU,40000
ompG,40000
ompG,40000
ycjZ,40000
mppA,40000
mppA,40000
ynaI,40000
ydaA,40000
ydaA,40000
ogt,40000
abgB,40000
recE,40000
recE,40000
recE,40000
ydfQ,40000
ECB_01341,40000
ECB_01344,40000
ydbD,40000
ynbB,40000
hrpA,40000
gapC,40000
ydcN,40000
ydcN,40000
yddE,40000
narZ,40000
narU,40000
yddG,40000
fdnG,40000
fdnH,40000
dos,40000
dos,40000
dos,40000
dos,40000
xasA,40000
xasA,40000
yddB,40000
ydeN,40000
ydeT,40000
hipA,40000
ydeU,40000
ydeU,40000
yneE,40000
marR,40000
ydfJ,40000
ynfM,40000
rstA,40000
manA,40000
ydgJ,40000
ydgK,40000
rnfG,40000
tyrS,40000
ydhK,40000
lhr,40000
ydhO,40000
ydhO,40000
purR,40000
ydhR,40000
ydhT,40000
pykF,40000
ydiL,40000
ydiF,40000
ydiS,40000
ydiA,40000
arpB,40000
yniC,40000
ydjO,40000
katE,40000
celF,40000
celD,40000
celA,40000
ydjQ,40000
astC,40000
ydjX,40000
ydjZ,40000
ynjI,40000
topB,40000
sppA,40000
ydjG,40000
ydjH,40000
ydjK,40000
ydjL,40000
ydjL,40000
gapA,40000
yeaI,40000
yoaF,40000
fadD,40000
fadD,40000
yoaA,40000
yoaE,40000
prc,40000
yebU,40000
ruvC,40000
