gene_list,time
ECB_01992,500
wecF,500
mrdA,1000
pykF,1000
ECB_01992,1000
spoT,1000
mrdA,1500
pykF,1500
ECB_01992,1500
spoT,1500
rbsD,1500
mrdA,2000
pykF,2000
spoT,2000
ftsI,5000
coaE,5000
mrcB,5000
yadQ,5000
ddl,5000
yaiI,5000
ybaL,5000
cueR,5000
ybbD,5000
ybbB,5000
gcl,5000
cusS,5000
rna,5000
mrdA,5000
ybgA,5000
sucB,5000
tolA,5000
uvrB,5000
hyaE,5000
appB,5000
yccC,5000
yceD,5000
narX,5000
sapA,5000
ydcJ,5000
ydfI,5000
ydhH,5000
pykF,5000
yeaV,5000
yecT,5000
flhB,5000
cobU,5000
ECB_01906,5000
asmA,5000
ECB_01999,5000
ECB_01999,5000
yehP,5000
yeiT,5000
yeiH,5000
yejM,5000
atoB,5000
emrY,5000
yfdZ,5000
mntH,5000
amiA,5000
yfgF,5000
nadB,5000
yfiC,5000
ascG,5000
ascF,5000
hycC,5000
relA,5000
sdaC,5000
gshB,5000
ECB_02838,5000
ECB_02857,5000
yqhG,5000
yqiH,5000
agaY,5000
agaC,5000
infB,5000
yhdP,5000
acrF,5000
yhfS,5000
yhjJ,5000
spoT,5000
kup,5000
hslU,5000
rplA,5000
iclR,5000
yjbH,5000
phnC,5000
mutL,5000
ECB_04073,5000
valS,5000
sgcX,5000
hsdM,5000
yjjM,5000
nadR,5000
dnaJ,10000
nhaA,10000
polB,10000
ftsI,10000
coaE,10000
yadG,10000
yadE,10000
yadQ,10000
yadQ,10000
ECB_00212,10000
proA,10000
yagX,10000
yagX,10000
prpD,10000
lacA,10000
frmA,10000
ampG,10000
kefA,10000
kefA,10000
dnaX,10000
ybaL,10000
cueR,10000
ybbD,10000
gcl,10000
cusS,10000
cstA,10000
dsbG,10000
rna,10000
citF,10000
mrdA,10000
mrdA,10000
gltK,10000
nagA,10000
potE,10000
kdpA,10000
ybfO,10000
ybgL,10000
uvrB,10000
ECB_00831,10000
ECB_00833,10000
cydC,10000
ycaI,10000
mukB,10000
ycbL,10000
hyaE,10000
appB,10000
phoH,10000
yceI,10000
ycfD,10000
hlyE,10000
treA,10000
trpB,10000
topA,10000
sapA,10000
ycjM,10000
ycjN,10000
ycjU,10000
pinR,10000
ydcA,10000
ydcJ,10000
xasA,10000
rstB,10000
ydhS,10000
pykF,10000
ydjF,10000
yeaG,10000
ECB_01797,10000
yebK,10000
aspS,10000
yecT,10000
flhB,10000
amn,10000
yeeO,10000
insD,10000
gnd,10000
ECB_01992,10000
ECB_01999,10000
ECB_02002,10000
ECB_02004,10000
fbaB,10000
ECB_02034,10000
yohGH,10000
yeiA,10000
cirA,10000
yejA,10000
yejH,10000
yejM,10000
ccmA,10000
atoB,10000
yfcF,10000
accD,10000
yfdC,10000
yfdZ,10000
ypdB,10000
ypdD,10000
eutA,10000
hyfB,10000
ppk,10000
hcaT,10000
yphG,10000
yphH,10000
yfhB,10000
yfhL,10000
nadB,10000
yfiC,10000
clpB,10000
ECB_02510,10000
ygaZ,10000
ascF,10000
ascB,10000
relA,10000
sdaC,10000
ECB_02651,10000
argA,10000
ptsP,10000
gshB,10000
yeeR,10000
ECB_02804,10000
ECB_02838,10000
glcC,10000
ECB_02855,10000
ECB_02857,10000
ygiQ,10000
yqiH,10000
rpoD,10000
yhaM,10000
agaZ,10000
agaY,10000
agaC,10000
yraR,10000
infB,10000
yrbH,10000
yhbL,10000
gltB,10000
sspA,10000
yhdP,10000
rpsE,10000
envZ,10000
malT,10000
nikE,10000
yhhI,10000
yhjJ,10000
dppC,10000
spoT,10000
gltS,10000
ECB_03523,10000
yidK,10000
tnaA,10000
yieF,10000
kup,10000
ECB_03693,10000
ECB_03711,10000
yiiE,10000
fdoG,10000
kdgT,10000
hslU,10000
argB,10000
nudC,10000
iclR,10000
metH,10000
metH,10000
yjbH,10000
alr,10000
nrfE,10000
yjcR,10000
phnJ,10000
phnC,10000
yjdA,10000
melB,10000
mutL,10000
rnr,10000
valS,10000
fimI,10000
fimH,10000
hsdR,10000
hpaD,10000
yjjM,10000
yjjB,10000
leuP,10000
nadR,10000
thrA,15000
thrB,15000
dnaJ,15000
nhaA,15000
nhaA,15000
polB,15000
ftsI,15000
