gene_list,time
pykF,500
spoT,500
pykF,1000
spoT,1000
mrdA,1500
ybiA,1500
pykF,1500
fis,1500
spoT,1500
iclR,1500
tilS,2000
mrdA,2000
ybiA,2000
pykF,2000
fis,2000
spoT,2000
iclR,2000
bglJ,2000
mrdA,5000
ybiA,5000
pykF,5000
ECB_02851,5000
argR,5000
fis,5000
malT,5000
spoT,5000
iclR,5000
hflK,5000
imp,10000
thiP,10000
ftsW,10000
hofC,10000
hofB,10000
aceE,10000
yacH,10000
tsf,10000
tilS,10000
cutF,10000
ECB_00212,10000
ykgK,10000
betA,10000
betT,10000
glnK,10000
acrA,10000
ybaL,10000
allB,10000
entF,10000
mrdB,10000
mrdA,10000
rhsC,10000
nei,10000
ECB_00733,10000
ECB_00735,10000
ybiA,10000
dinG,10000
ybiC,10000
yliG,10000
ECB_00833,10000
potG,10000
mukB,10000
ycbF,10000
yccW,10000
hyaA,10000
appC,10000
fhuE,10000
dsbB,10000
ychK,10000
ycjO,10000
ycjW,10000
ydcS,10000
yncC,10000
yddG,10000
fdnG,10000
sfcA,10000
pqqL,10000
ynfB,10000
fumC,10000
fumC,10000
ydgJ,10000
ydhJ,10000
nemA,10000
pykF,10000
ydjN,10000
nudG,10000
sdaA,10000
pykA,10000
yebC,10000
torY,10000
cheA,10000
cheA,10000
otsA,10000
wbbC,10000
wbbB,10000
ECB_01992,10000
yohI,10000
yeiG,10000
lysP,10000
ccmH,10000
ada,10000
atoS,10000
yfaP,10000
nuoG,10000
yfcR,10000
dsdC,10000
yfeO,10000
pepB,10000
yphD,10000
yphD,10000
ygaF,10000
ygaH,10000
cysJ,10000
ygcN,10000
ygcS,10000
ECB_02649,10000
kduI,10000
gcvP,10000
iciA,10000
cmtA,10000
tktA,10000
speA,10000
yqgE,10000
ECB_02798,10000
flu,10000
ECB_02821,10000
ECB_02851,10000
yghB,10000
ygiM,10000
ygjI,10000
fadH,10000
ygjU,10000
infB,10000
yhbE,10000
yhbL,10000
arcB,10000
argR,10000
fis,10000
rpsD,10000
rplC,10000
chiA,10000
yhfS,10000
envZ,10000
malT,10000
yrhA,10000
livG,10000
yhhT,10000
yhiI,10000
yhiQ,10000
yhiE,10000
yicF,10000
spoT,10000
yicO,10000
trmE,10000
mioC,10000
yihF,10000
iclR,10000
phnL,10000
yjcZ,10000
basS,10000
dcuS,10000
ampC,10000
mutL,10000
hflK,10000
ytfM,10000
ytfT,10000
ytfT,10000
yjfF,10000
yjgL,10000
yjgN,10000
yjgZ,10000
insG,10000
fimB,10000
fimC,10000
hsdR,10000
leuV,10000
nadR,10000
thrA,15000
araD,15000
fruR,15000
ftsI,15000
ftsW,15000
secA,15000
yacF,15000
guaC,15000
hofB,15000
ampE,15000
yacH,15000
hrpB,15000
fhuC,15000
yadQ,15000
tsf,15000
dnaE,15000
tilS,15000
ECB_00212,15000
proB,15000
ykgK,15000
betA,15000
yahB,15000
yahN,15000
mhpR,15000
hemB,15000
lon,15000
ybaL,15000
ybbB,15000
allB,15000
cysS,15000
folD,15000
ybcK,15000
entF,15000
ahpF,15000
ybeF,15000
mrdA,15000
ybeR,15000
ybeX,15000
kdpD,15000
rhsC,15000
rhsC,15000
ybfO,15000
ybgG,15000
ECB_00733,15000
ECB_00735,15000
ybhN,15000
ybiA,15000
yliG,15000
ECB_00833,15000
ECB_00834,15000
potG,15000
macA,15000
ycbB,15000
ycbF,15000
yccT,15000
yccW,15000
hyaA,15000
appC,15000
yccC,15000
yccZ,15000
yccZ,15000
insF-1,15000
yceE,15000
fhuE,15000
mfd,15000
dsbB,15000
ycgV,15000
narJ,15000
ychK,15000
adhE,15000
yciV,15000
yciR,15000
rnb,15000
ycjO,15000
abgA,15000
ECB_01341,15000
ynbC,15000
ydcL,15000
ydcS,15000
ydcS,15000
ydcS,15000
yncC,15000
rhsE,15000
fdnG,15000
sfcA,15000
sfcA,15000
yddR,15000
pqqL,15000
yddB,15000
yneE,15000
ECB_01528,15000
ynfB,15000
fumC,15000
malX,15000
add,15000
ydhJ,15000
ydhC,15000
pykF,15000
ydiK,15000
ydiN,15000
ydiY,15000
katE,15000
ydjE,15000
ptrB,15000
yebC,15000
torY,15000
cheA,15000
cheA,15000
insA-13,15000
ECB_01906,15000
gmd,15000
yegO,15000
ogrK,15000
ECB_01990,15000
ECB_01992,15000
yohI,15000
yohK,15000
lysP,15000
bcr,15000
yejO,15000
ccmH,15000
ccmF,15000
ada,15000
ada,15000
atoS,15000
yfaP,15000
yfaS,15000
yfaL,15000
glpT,15000
usg,15000
yfcR,15000
dsdC,15000
evgS,15000
yfeO,15000
yfeO,15000
yfeR,15000
hyfB,15000
yfhM,15000
pepB,15000
yphD,15000
lepA,15000
yfiO,15000
ygaF,15000
nrdI,15000
ygaH,15000
hypF,15000
hycI,15000
ispF,15000
cysJ,15000
ygcM,15000
ygcN,15000
ygcS,15000
ygcE,15000
pyrG,15000
gudP,15000
fucO,15000
recB,15000
gcvP,15000
ubiH,15000
iciA,15000
speA,15000
yqgE,15000
yggM,15000
ECB_02798,15000
flu,15000
yghF,15000
yghJ,15000
ECB_02851,15000
yghA,15000
yghB,15000
yqiG,15000
ygiP,15000
ttdA,15000
ygjI,15000
fadH,15000
ygjU,15000
exuT,15000
agaE,15000
yraR,15000
mtr,15000
infB,15000
yhbE,15000
yrbE,15000
yhbL,15000
arcB,15000
gltB,15000
argR,15000
fis,15000
acrF,15000
rpsD,15000
prlA,15000
rplC,15000
chiA,15000
kefB,15000
yhfS,15000
envZ,15000
malT,15000
malT,15000
livG,15000
yhhQ,15000
yhhT,15000
yhiI,15000
yhiQ,15000
yhiE,15000
yibH,15000
ECB_03460,15000
yibK,15000
cysE,15000
rpmB,15000
yicF,15000
spoT,15000
ECB_03520,15000
ECB_03524,15000
yicO,15000
dgoK,15000
trmE,15000
tnaA,15000
gidB,15000
mioC,15000
mioC,15000
rho,15000
yifK,15000
aslB,15000
aslA,15000
metE,15000
mobA,15000
ppc,15000
rpoB,15000
iclR,15000
yjcF,15000
nrfA,15000
nrfE,15000
phnP,15000
phnF,15000
phnF,15000
yjcZ,15000
basS,15000
dcuS,15000
ampC,15000
mutL,15000
hflK,15000
ECB_04074,15000
ytfL,15000
ytfM,15000
