gene_list,time
topA,500
yfaQ,500
ybeB,1000
topA,1000
atoC,1000
yfaQ,1000
ybeB,1500
topA,1500
pykF,1500
ECB_01992,1500
yfaQ,1500
ybeB,2000
topA,2000
pykF,2000
yfaQ,2000
galR,2000
hslU,2000
ybeB,5000
fabF,5000
topA,5000
yddA,5000
pykF,5000
yfaQ,5000
hslU,5000
iclR,5000
uvrA,5000
htpG,10000
ybaL,10000
ybeB,10000
ycdM,10000
fabF,10000
cls,10000
topA,10000
marA,10000
pykF,10000
yehM,10000
yfaQ,10000
ispF,10000
ygiN,10000
infB,10000
yhdJ,10000
hslU,10000
iclR,10000
uvrA,10000
nrfE,10000
mdoB,10000
ybaL,15000
ybeM,15000
ybeB,15000
ycdM,15000
rne,15000
rne,15000
fabF,15000
cls,15000
topA,15000
blr,15000
pykF,15000
pykA,15000
yfaQ,15000
hyfA,15000
iap,15000
ECB_02852,15000
ygiN,15000
infB,15000
fusA,15000
hslU,15000
iclR,15000
plsB,15000
uvrA,15000
fimA,15000
hsdS,15000
thrA,20000
ybaL,20000
ybeM,20000
ybeB,20000
ycdM,20000
dinI,20000
rne,20000
ECB_01081,20000
fabF,20000
cls,20000
topA,20000
blr,20000
pykF,20000
pykA,20000
yfaQ,20000
menC,20000
hyfA,20000
iap,20000
ECB_02852,20000
ygiN,20000
infB,20000
hslU,20000
iclR,20000
plsB,20000
uvrA,20000
hsdS,20000
nadR,20000
yacH,30000
insB-2,30000
ykgA,30000
yaiT,30000
ybaL,30000
cusS,30000
asnB,30000
phoH,30000
dinI,30000
mfd,30000
acpD,30000
fdnH,30000
ydeU,30000
pykF,30000
pykF,30000
astB,30000
ynjI,30000
ynjI,30000
ECB_01992,30000
ECB_02013,30000
gatZ,30000
yehM,30000
cirA,30000
yfaQ,30000
glpT,30000
menC,30000
fadL,30000
ECB_02512,30000
metW,30000
kduD,30000
yqeB,30000
yggC,30000
flu,30000
ECB_02816,30000
yhbX,30000
hflB,30000
mreC,30000
rpoA,30000
ugpQ,30000
yhhT,30000
slp,30000
yhjD,30000
yiaT,30000
tdh,30000
yicC,30000
spoT,30000
phoU,30000
ECB_03715,30000
ulaA,30000
cysQ,30000
hsdS,30000
nadR,30000
arcA,30000
thrA,40000
yahA,40000
yahC,40000
ybaL,40000
ybeM,40000
ybeA,40000
ybeB,40000
ybiN,40000
yliE,40000
ycbB,40000
ycdM,40000
phoH,40000
rne,40000
fabF,40000
narH,40000
cls,40000
topA,40000
blr,40000
ydhH,40000
ydhK,40000
pykF,40000
pykF,40000
astE,40000
pykA,40000
yeeF,40000
yfaQ,40000
hyfA,40000
ygbO,40000
iap,40000
ECB_02837,40000
ECB_02852,40000
ygiN,40000
ygjG,40000
infB,40000
rplF,40000
crp,40000
malT,40000
glgC,40000
mtlD,40000
yicC,40000
yihP,40000
hslU,40000
metJ,40000
iclR,40000
plsB,40000
uvrA,40000
hsdS,40000
nadR,40000
thrA,50000
ftsI,50000
yafM,50000
yagQ,50000
yahA,50000
yahC,50000
ybaL,50000
ybeM,50000
ybeA,50000
ybeB,50000
ybiN,50000
ybiN,50000
yliE,50000
ybjE,50000
ycbB,50000
ycdM,50000
phoH,50000
rne,50000
fabF,50000
narH,50000
cls,50000
topA,50000
blr,50000
ydhH,50000
ydhK,50000
pykF,50000
pykF,50000
ydiQ,50000
astE,50000
yeaU,50000
pykA,50000
yeeF,50000
hisL,50000
yfaQ,50000
mepA,50000
hyfA,50000
hyfC,50000
ygbO,50000
iap,50000
kduD,50000
ECB_02837,50000
ECB_02852,50000
ygiN,50000
ygjG,50000
infB,50000
nusA,50000
rplF,50000
crp,50000
malT,50000
glgA,50000
glgC,50000
mtlD,50000
yicC,50000
spoT,50000
yihP,50000
hslU,50000
metJ,50000
iclR,50000
plsB,50000
uvrA,50000
hsdS,50000
nadR,50000
