population,gene_list
Ara-1A,topA
Ara-1A,pykF
Ara-1A,spoT
Ara-1B,topA
Ara-1B,pykF
Ara-1B,astD
Ara-1B,yhdX
Ara-1B,spoT
Ara-2A,mrdA
Ara-2A,pykF
Ara-2A,ECB_01992
Ara-2A,spoT
Ara-2B,mrdA
Ara-2B,pykF
Ara-2B,ECB_01992
Ara-2B,spoT
Ara-2B,rbsD
Ara-3A,yabB
Ara-3A,pykF
Ara-3A,wzzE
Ara-3A,yijC
Ara-3A,iclR
Ara-3B,mrdB
Ara-3B,ldrC
Ara-3B,pykF
Ara-3B,ECB_01992
Ara-3B,yhhT
Ara-3B,ytfN
Ara-4A,mrdA
Ara-4A,ybiA
Ara-4A,pykF
Ara-4A,fis
Ara-4A,spoT
Ara-4A,iclR
Ara-4B,ybiA
Ara-4B,trkG
Ara-4B,pykF
Ara-4B,yeeA
Ara-4B,fis
Ara-4B,spoT
Ara-4B,iclR
Ara-5A,ybeB
Ara-5A,topA
Ara-5A,pykF
Ara-5A,ECB_01992
Ara-5A,yfaQ
Ara-5B,ybeB
Ara-5B,topA
Ara-5B,pykF
Ara-5B,yfaQ
Ara-5B,hslU
Ara-5B,uvrA
Ara-6A,pykF
Ara-6A,ygiP
Ara-6A,mreC
Ara-6A,prlA
Ara-6A,nadR
Ara-6B,pykF
Ara-6B,mreC
Ara-6B,prlA
Ara-6B,nadR
Ara+1A,topA
Ara+1A,yncG
Ara+1A,ECB_02621
Ara+1A,mreB
Ara+1A,yijC
Ara+1B,topA
Ara+1B,yncG
Ara+1B,yqhC
Ara+1B,mreB
Ara+1B,yijC
Ara+2A,pykF
Ara+2A,wcaM
Ara+2A,infB
Ara+2A,spoT
Ara+2B,pykF
Ara+2B,wcaM
Ara+2B,mreB
Ara+2B,spoT
Ara+3A,ybaL
Ara+3A,ybgL
Ara+3A,pykF
Ara+3A,stpA
Ara+3A,mreC
Ara+3B,ybaL
Ara+3B,pykF
Ara+3B,mreC
Ara+3B,spoT
Ara+3B,rbsD
Ara+4A,mrdA
Ara+4A,pykF
Ara+4A,pdxB
Ara+4A,spoT
Ara+4B,dgt
Ara+4B,hyaE
Ara+4B,pykF
Ara+4B,ynjA
Ara+4B,spoT
Ara+4B,fimB
Ara+5A,rhsD
Ara+5A,pykF
Ara+5A,mreB
Ara+5A,trkH
Ara+5B,pykF
Ara+5B,yijC
Ara+6A,pykF
Ara+6A,mreC
Ara+6A,spoT
Ara+6A,iclR
Ara+6B,pykF
Ara+6B,yqjK
Ara+6B,spoT
