gene_list,time
arpB,500
ECB_02648,500
nadR,500
ybaL,1000
pykF,1000
mreC,1000
ybaL,1500
pykF,1500
mreC,1500
spoT,1500
rbsD,1500
leuO,2000
insB-2,2000
ybaL,2000
pykF,2000
mreC,2000
spoT,2000
yaaU,5000
ftsZ,5000
yadS,5000
yahB,5000
lacI,5000
hemB,5000
ybaE,5000
ybaL,5000
gltJ,5000
ubiF,5000
moaB,5000
ybjL,5000
focA,5000
rpsA,5000
pqiA,5000
pqiB,5000
torC,5000
yccE,5000
mdoC,5000
plsX,5000
fabH,5000
trmU,5000
ycjL,5000
ycjL,5000
ycjU,5000
ECB_01342,5000
yncG,5000
xasA,5000
ydhS,5000
pykF,5000
arpB,5000
ydjC,5000
astB,5000
zwf,5000
pgsA,5000
yeeJ,5000
yeeJ,5000
yeeJ,5000
wbbB,5000
yehT,5000
bglX,5000
rihB,5000
yejE,5000
yejH,5000
ccmA,5000
flk,5000
evgS,5000
yfeU,5000
eutB,5000
hcaE,5000
mutS,5000
ygbK,5000
relA,5000
ygdH,5000
sdaB,5000
mutH,5000
yqeB,5000
ygfK,5000
ECB_02798,5000
ECB_02838,5000
parC,5000
ygjP,5000
infB,5000
nusA,5000
nanK,5000
rplM,5000
mreC,5000
yhdT,5000
gspA,5000
prkB,5000
yhfC,5000
gntT,5000
malP,5000
malT,5000
malT,5000
ugpE,5000
rpoH,5000
yhiH,5000
ECB_03460,5000
ECB_03519,5000
yicM,5000
yieN,5000
rfe,5000
pldA,5000
ECB_03715,5000
bipA,5000
rhaS,5000
hslU,5000
ftsN,5000
metL,5000
iclR,5000
rpiR,5000
phnP,5000
phnI,5000
yjdF,5000
yjeM,5000
amiB,5000
arcA,5000
nhaR,10000
caiC,10000
caiB,10000
yaaU,10000
ftsZ,10000
ppdD,10000
aroP,10000
gcd,10000
yadH,10000
yadS,10000
lpxD,10000
lpxA,10000
lpxB,10000
aspU,10000
yahB,10000
yahB,10000
prpD,10000
lacI,10000
hemB,10000
yaiT,10000
thiL,10000
ybaE,10000
ybaL,10000
ushA,10000
allC,10000
ylbE,10000
sfmD,10000
sfmF,10000
appY,10000
nfrB,10000
cusS,10000
entF,10000
entF,10000
ybdB,10000
citA,10000
dcuC,10000
crcA,10000
ybeV,10000
gltJ,10000
ybeZ,10000
kdpD,10000
kdpD,10000
kdpA,10000
ybgP,10000
ybgP,10000
pnuC,10000
modB,10000
ybhE,10000
ybhE,10000
ECB_00734,10000
ECB_00735,10000
yliH,10000
ybjJ,10000
ECB_00817,10000
ybjN,10000
dmsA,10000
focA,10000
rpsA,10000
pqiA,10000
pqiB,10000
fabA,10000
yccT,10000
torC,10000
ycdJ,10000
ycdJ,10000
ycdW,10000
grxB,10000
plsX,10000
ycfT,10000
trmU,10000
trpE,10000
ycjL,10000
ycjF,10000
abgB,10000
ECB_01342,10000
ompN,10000
ydbH,10000
aldA,10000
yncG,10000
yddW,10000
xasA,10000
yneA,10000
ydfQ,10000
nemA,10000
ydhB,10000
ydhS,10000
ydhS,10000
pykF,10000
ydiM,10000
ydiU,10000
arpB,10000
astB,10000
pncA,10000
yeaG,10000
zwf,10000
yeeJ,10000
yegB,10000
yegZ,10000
ECB_01992,10000
gatC,10000
yegW,10000
yehT,10000
yeiG,10000
lysP,10000
rihB,10000
yejE,10000
yejH,10000
yejO,10000
ccmD,10000
glpC,10000
menE,10000
nuoM,10000
flk,10000
fabB,10000
emrY,10000
evgS,10000
yfdY,10000
ypdE,10000
yfeS,10000
