gene_list,time
pykF,500
spoT,500
mrdA,1000
pykF,1000
spoT,1000
pykF,1500
mreC,1500
spoT,1500
iclR,1500
mrdA,2000
pykF,2000
spoT,2000
mrdB,5000
pykF,5000
spoT,5000
bglG,5000
iclR,5000
dnaJ,10000
araA,10000
yabI,10000
ftsQ,10000
secA,10000
mutT,10000
ppdD,10000
aceE,10000
aceF,10000
lpdA,10000
htrE,10000
dapD,10000
map,10000
tsf,10000
ispC,10000
yaeL,10000
dnaE,10000
tilS,10000
cutF,10000
metN,10000
ykfE,10000
pepD,10000
yagW,10000
yagX,10000
ykgK,10000
ykgH,10000
yahE,10000
yahJ,10000
prpD,10000
sbmA,10000
malZ,10000
malZ,10000
tsx,10000
dxs,10000
xseB,10000
cyoA,10000
tig,10000
ybaY,10000
acrB,10000
adk,10000
ybaL,10000
fsr,10000
ybbO,10000
allB,10000
allB,10000
purK,10000
sfmD,10000
ECB_00515,10000
ECB_00529,10000
ybdK,10000
fepA,10000
fepE,10000
fepC,10000
fepD,10000
fepB,10000
ybdH,10000
ybdR,10000
ybeF,10000
mrdB,10000
leuS,10000
ybeV,10000
gltK,10000
lnt,10000
ybeZ,10000
nagE,10000
speF,10000
ybfO,10000
yhhI,10000
ybgH,10000
ybgI,10000
ybgO,10000
sucA,10000
sucC,10000
ybgR,10000
gpmA,10000
ybhH,10000
ybhM,10000
ybhN,10000
ybiL,10000
moeA,10000
yliA,10000
yliE,10000
ECB_00824,10000
ECB_00831,10000
ECB_00832,10000
ECB_00844,10000
ybjS,10000
ybjS,10000
hcp,10000
hcp,10000
dmsA,10000
dmsA,10000
pflA,10000
aroA,10000
ycaQ,10000
kdsB,10000
ycbJ,10000
mukB,10000
ycbS,10000
ycbU,10000
fabA,10000
sulA,10000
yccS,10000
yccS,10000
yccC,10000
yccC,10000
torA,10000
yccE,10000
putA,10000
ycdR,10000
ycdR,10000
ycdS,10000
ycdT,10000
ycdX,10000
ycdZ,10000
csgD,10000
rimJ,10000
yceH,10000
flgG,10000
flgJ,10000
fhuE,10000
nagZ,10000
ycfS,10000
ycfW,10000
ycgH,10000
hlyE,10000
hlyE,10000
umuC,10000
lolB,10000
chaB,10000
narL,10000
narK,10000
narI,10000
ychK,10000
oppB,10000
oppF,10000
trpD,10000
topA,10000
topA,10000
yciX,10000
ribA,10000
ribA,10000
sapA,10000
goaG,10000
pspA,10000
ycjF,10000
ynaI,10000
trkG,10000
ydbK,10000
ydbH,10000
hrpA,10000
ydcJ,10000
ydcJ,10000
ydcO,10000
ydcV,10000
yncG,10000
narZ,10000
fdnG,10000
yddW,10000
xasA,10000
pqqL,10000
pqqL,10000
yddA,10000
ECB_01467,10000
yneH,10000
ydfZ,10000
ECB_01546,10000
speG,10000
speG,10000
rnfB,10000
rnfB,10000
rnfC,10000
rnfE,10000
tyrS,10000
ydhW,10000
ydhW,10000
pykF,10000
ydiM,10000
ydiN,10000
ydiF,10000
ydiV,10000
pheT,10000
yniC,10000
katE,10000
ydjQ,10000
astD,10000
astD,10000
astD,10000
ansA,10000
ydjE,10000
ydjJ,10000
ydjK,10000
yeaE,10000
yeaH,10000
yeaL,10000
yeaR,10000
yoaA,10000
htpX,10000
proQ,10000
edd,10000
pykA,10000
yebA,10000
ruvB,10000
yecP,10000
torZ,10000
cutC,10000
cheZ,10000
cheZ,10000
cheY,10000
tyrP,10000
uvrY,10000
yedV,10000
yedZ,10000
sbcB,10000
hisI,10000
ugd,10000
wbbB,10000
wbbB,10000
wzx,10000
rfbD,10000
wcaG,10000
wcaE,10000
wcaC,10000
yegH,10000
yegH,10000
yegN,10000
baeS,10000
yegQ,10000
yegZ,10000
ECB_01989,10000
ECB_02004,10000
ECB_02008,10000
gatD,10000
mrp,10000
metG,10000
molR,10000
yehI,10000
yeiA,10000
yejB,10000
yojI,10000
alkB,10000
yojL,10000
gyrA,10000
yfaD,10000
yfaU,10000
yfaW,10000
pmrD,10000
nuoL,10000
yfbR,10000
yfbS,10000
yfbT,10000
pta,10000
yfcC,10000
yfcH,10000
hisP,10000
evgA,10000
yfdW,10000
yfeO,10000
nupC,10000
yfeD,10000
yfeS,10000
ypfI,10000
gcvR,10000
hyfC,10000
hyfF,10000
hyfH,10000
ppx,10000
yfgF,10000
yfgI,10000
xseA,10000
pepB,10000
yphC,10000
yphC,10000
yphG,10000
yphH,10000
rseB,10000
rpoE,10000
yfiL,10000
yfiR,10000
ffh,10000
gabD,10000
ygaW,10000
nrdF,10000
proX,10000
gshA,10000
ygbD,10000
hycD,10000
ygbI,10000
ygcW,10000
barA,10000
gudD,10000
ygdH,10000
sdaC,10000
fucI,10000
fucK,10000
fucK,10000
ygdD,10000
recD,10000
lgt,10000
aas,10000
galR,10000
kduD,10000
ygeQ,10000
ygeZ,10000
ygfK,10000
ygfK,10000
lysS,10000
ygfA,10000
argK,10000
ygfI,10000
yggD,10000
yqgF,10000
ECB_02816,10000
ECB_02821,10000
ECB_02831,10000
ECB_02836,10000
yghU,10000
hybC,10000
exbD,10000
ygiY,10000
ebgA,10000
yhaM,10000
agaA,10000
yraJ,10000
nlpI,10000
infB,10000
nusA,10000
glmM,10000
yrbG,10000
yrbI,10000
yhbG,10000
arcB,10000
arcB,10000
yhcP,10000
yhcQ,10000
yhdG,10000
acrF,10000
rrmB,10000
rplF,10000
rplW,10000
gspA,10000
gspI,10000
gspM,10000
chiA,10000
cysG,10000
yhfR,10000
yhfZ,10000
gph,10000
feoB,10000
gntT,10000
malT,10000
malT,10000
malT,10000
rtcB,10000
yzgL,10000
yhhX,10000
yhhX,10000
yhhX,10000
ugpQ,10000
livJ,10000
yhhN,10000
yhhS,10000
acpT,10000
nikA,10000
yhiN,10000
yhiP,10000
yhjU,10000
xylB,10000
xylA,10000
malS,10000
sgbE,10000
yiaV,10000
yibG,10000
mtlA,10000
ECB_03460,10000
waaW,10000
waaW,10000
yicF,10000
spoT,10000
ECB_03521,10000
ECB_03521,10000
ECB_03525,10000
yicK,10000
yicO,10000
ade,10000
uhpC,10000
ilvB,10000
yidI,10000
yidL,10000
bglG,10000
bglG,10000
bglG,10000
glmS,10000
yieM,10000
yieN,10000
yieP,10000
yifB,10000
ilvG,10000
ilvM,10000
wecB,10000
aslB,10000
