gene_list,time
yabB,1000
pykF,1000
yijC,1000
yabB,1500
pykF,1500
wzzE,1500
yijC,1500
iclR,1500
mrdB,2000
ldrC,2000
pykF,2000
ECB_01992,2000
fadL,2000
infB,2000
ytfN,2000
nadR,2000
aes,5000
ybcQ,5000
mrdB,5000
lysQ,5000
pflB,5000
ldrC,5000
topA,5000
pykF,5000
ECB_01992,5000
dam,5000
malT,5000
hslU,5000
ytfN,5000
yabN,10000
ybaL,10000
ybcQ,10000
mrdB,10000
asnB,10000
ldrC,10000
topA,10000
pykF,10000
rnd,10000
ECB_01992,10000
fis,10000
rpsG,10000
malT,10000
hslU,10000
metL,10000
ytfN,10000
yabN,15000
ybaL,15000
ybcQ,15000
mrdB,15000
asnB,15000
ybjD,15000
ldrC,15000
topA,15000
pykF,15000
rnd,15000
fucI,15000
ECB_02816,15000
fis,15000
rpsG,15000
feoB,15000
malT,15000
glpR,15000
hslU,15000
metL,15000
ytfN,15000
fimA,15000
yaaH,20000
ybaL,20000
ybcQ,20000
ybeF,20000
mrdB,20000
ldrC,20000
topA,20000
ECB_01510,20000
pykF,20000
ECB_02013,20000
rihB,20000
rplS,20000
ECB_02816,20000
fis,20000
rpsG,20000
envZ,20000
malT,20000
glpR,20000
ggt,20000
waaT,20000
hslU,20000
metL,20000
iclR,20000
ytfN,20000
fimA,20000
nadR,20000
ybaL,30000
ybcQ,30000
mrdB,30000
plsX,30000
ldrC,30000
topA,30000
pykF,30000
cspC,30000
proQ,30000
yedV,30000
menC,30000
yfiR,30000
rplS,30000
ECB_02816,30000
yghB,30000
ygjG,30000
yqjK,30000
sspA,30000
fis,30000
rpsG,30000
yrfE,30000
ompR,30000
malT,30000
yiaV,30000
waaT,30000
hslU,30000
metL,30000
ytfN,30000
fimA,30000
nadR,30000
thrA,40000
yaaH,40000
caiA,40000
djlA,40000
setA,40000
ddl,40000
speE,40000
fhuB,40000
proS,40000
yafE,40000
insB-2,40000
ECB_00212,40000
