population,gene_list
Ara-1A,topA
Ara-1A,pykF
Ara-1A,spoT
Ara-1B,topA
Ara-1B,ydbH
Ara-1B,pykF
Ara-1B,spoT
Ara-2A,mrdA
Ara-2A,pykF
Ara-2A,menC
Ara-2A,yfhB
Ara-2A,spoT
Ara-2B,mrdA
Ara-2B,pykF
Ara-2B,spoT
Ara-3A,mrdB
Ara-3A,ldrC
Ara-3A,pykF
Ara-3A,ECB_01992
Ara-3A,fadL
Ara-3A,infB
Ara-3A,ytfN
Ara-3A,nadR
Ara-3B,yabB
Ara-3B,pykF
Ara-3B,yegP
Ara-3B,yiaN
Ara-3B,hslU
Ara-3B,yijC
Ara-4A,tilS
Ara-4A,mrdA
Ara-4A,ybiA
Ara-4A,pykF
Ara-4A,fis
Ara-4A,spoT
Ara-4A,iclR
Ara-4A,bglJ
Ara-4B,mrdA
Ara-4B,ybiA
Ara-4B,pykF
Ara-4B,ECB_01992
Ara-4B,fis
Ara-4B,spoT
Ara-4B,iclR
Ara-5A,ybeB
Ara-5A,topA
Ara-5A,pykF
Ara-5A,yfaQ
Ara-5A,galR
Ara-5A,hslU
Ara-5B,ybeB
Ara-5B,topA
Ara-5B,pykF
Ara-5B,yfaQ
Ara-5B,galR
Ara-5B,hslU
Ara-6A,pykF
Ara-6A,eutC
Ara-6A,mreC
Ara-6A,trkH
Ara-6A,yijC
Ara-6A,nadR
Ara-6B,pykF
Ara-6B,ECB_02818
Ara-6B,mreC
Ara-6B,trkH
Ara-6B,yijC
Ara-6B,nadR
Ara+1A,ycgB
Ara+1A,pykF
Ara+1A,nusA
Ara+1A,spoT
Ara+1A,nadR
Ara+1B,pykF
Ara+1B,yhfZ
Ara+1B,nadR
Ara+2A,pykF
Ara+2A,wcaM
Ara+2A,infB
Ara+2A,pitA
Ara+2A,spoT
Ara+2B,pykF
Ara+2B,wcaM
Ara+2B,ECB_02013
Ara+2B,infB
Ara+2B,pitA
Ara+2B,spoT
Ara+3A,dnaK
Ara+3A,ftsI
Ara+3A,ybaL
Ara+3A,pykF
Ara+3A,stpA
Ara+3A,mreC
Ara+3B,leuO
Ara+3B,insB-2
Ara+3B,ybaL
Ara+3B,pykF
Ara+3B,mreC
Ara+3B,spoT
Ara+4A,mrdA
Ara+4A,pykF
Ara+4A,spoT
Ara+4A,iclR
Ara+4B,pykF
Ara+4B,ECB_01992
Ara+4B,atoS
Ara+4B,relA
Ara+4B,nadR
Ara+5A,rhsD
Ara+5A,sapD
Ara+5A,pykF
Ara+5A,mreB
Ara+5A,trkH
Ara+5B,rhsD
Ara+5B,ECB_00516
Ara+5B,sapD
Ara+5B,pykF
Ara+5B,mreB
Ara+5B,trkH
Ara+6A,mrdA
Ara+6A,pykF
Ara+6A,spoT
Ara+6B,mrdA
Ara+6B,pykF
Ara+6B,spoT
