population,gene_list
Ara-1A,topA
Ara-1A,yijC
Ara-1B,rnhA
Ara-1B,uvrB
Ara-1B,topA
Ara-1B,yijC
Ara-2A,pykF
Ara-2A,ECB_01992
Ara-2A,yijC
Ara-2B,ECB_01992
Ara-2B,wecF
Ara-3B,topA
Ara-3B,ECB_01992
Ara-3B,mreD
Ara-4A,pykF
Ara-4A,spoT
Ara-4B,pykF
Ara-4B,spoT
Ara-5A,topA
Ara-5A,yfaQ
Ara-5B,topA
Ara-5B,yfaQ
Ara-6A,insB-2
Ara-6A,topA
Ara+1A,topA
Ara+1A,yncG
Ara+1B,topA
Ara+2A,pykF
Ara+2A,spoT
Ara+2B,pykF
Ara+2B,spoT
Ara+3A,hupB
Ara+3A,mrdA
Ara+3B,arpB
Ara+3B,ECB_02648
Ara+3B,nadR
Ara+4A,spoT
Ara+4B,pykF
Ara+4B,spoT
Ara+4B,wecB
Ara+5A,mreB
Ara+5A,yhgF
Ara+5B,mreB
Ara+5B,trkH
Ara+6A,pykF
Ara+6A,spoT
Ara+6B,spoT
