gene_list,population
ybaL,Ara-1A
mrdA,Ara-1A
nagC,Ara-1A
topA,Ara-1A
pykF,Ara-1A
yegI,Ara-1A
infB,Ara-1A
malT,Ara-1A
spoT,Ara-1A
hslU,Ara-1A
nadR,Ara-1A
ybaL,Ara-1B
mrdA,Ara-1B
nagC,Ara-1B
topA,Ara-1B
pykF,Ara-1B
pykF,Ara-1B
yegI,Ara-1B
ECB_02621,Ara-1B
infB,Ara-1B
malT,Ara-1B
spoT,Ara-1B
hslU,Ara-1B
fimA,Ara-1B
ftsI,Ara-2A
coaE,Ara-2A
yadQ,Ara-2A
prpD,Ara-2A
yaiC,Ara-2A
ampG,Ara-2A
kefA,Ara-2A
ybaL,Ara-2A
fsr,Ara-2A
cueR,Ara-2A
ybbD,Ara-2A
gcl,Ara-2A
cusS,Ara-2A
dsbG,Ara-2A
ahpF,Ara-2A
rna,Ara-2A
mrdA,Ara-2A
mrdA,Ara-2A
uvrB,Ara-2A
ECB_00833,Ara-2A
helD,Ara-2A
hyaE,Ara-2A
appB,Ara-2A
ychK,Ara-2A
sapA,Ara-2A
ycjN,Ara-2A
ycjU,Ara-2A
ydcJ,Ara-2A
norM,Ara-2A
pykF,Ara-2A
ydiQ,Ara-2A
aspS,Ara-2A
yecT,Ara-2A
flhB,Ara-2A
ECB_01999,Ara-2A
ECB_01999,Ara-2A
fbaB,Ara-2A
ECB_02034,Ara-2A
yejA,Ara-2A
yfcTU,Ara-2A
yfdZ,Ara-2A
yfeO,Ara-2A
ppk,Ara-2A
yphH,Ara-2A
nadB,Ara-2A
yfiC,Ara-2A
ascF,Ara-2A
ftsB,Ara-2A
relA,Ara-2A
gshB,Ara-2A
ECB_02838,Ara-2A
glcB,Ara-2A
ECB_02857,Ara-2A
yghB,Ara-2A
yqiH,Ara-2A
rpoD,Ara-2A
ygjU,Ara-2A
yhaM,Ara-2A
agaY,Ara-2A
agaC,Ara-2A
infB,Ara-2A
rpsE,Ara-2A
yhjJ,Ara-2A
spoT,Ara-2A
kup,Ara-2A
fdoG,Ara-2A
hslU,Ara-2A
nudC,Ara-2A
iclR,Ara-2A
yjbH,Ara-2A
alr,Ara-2A
nrfE,Ara-2A
phnC,Ara-2A
mutL,Ara-2A
rnr,Ara-2A
fimH,Ara-2A
yjjM,Ara-2A
leuP,Ara-2A
yjjW,Ara-2A
nadR,Ara-2A
ftsI,Ara-2B
coaE,Ara-2B
mrcB,Ara-2B
yadQ,Ara-2B
ddl,Ara-2B
yaiI,Ara-2B
ybaL,Ara-2B
cueR,Ara-2B
ybbD,Ara-2B
ybbB,Ara-2B
gcl,Ara-2B
cusS,Ara-2B
rna,Ara-2B
mrdA,Ara-2B
ybgA,Ara-2B
sucB,Ara-2B
tolA,Ara-2B
uvrB,Ara-2B
hyaE,Ara-2B
appB,Ara-2B
yccC,Ara-2B
yceD,Ara-2B
narX,Ara-2B
sapA,Ara-2B
ydcJ,Ara-2B
ydfI,Ara-2B
ydhH,Ara-2B
pykF,Ara-2B
yeaV,Ara-2B
yecT,Ara-2B
flhB,Ara-2B
cobU,Ara-2B
ECB_01906,Ara-2B
asmA,Ara-2B
ECB_01999,Ara-2B
ECB_01999,Ara-2B
yehP,Ara-2B
yeiT,Ara-2B
yeiH,Ara-2B
yejM,Ara-2B
atoB,Ara-2B
emrY,Ara-2B
yfdZ,Ara-2B
mntH,Ara-2B
amiA,Ara-2B
yfgF,Ara-2B
nadB,Ara-2B
yfiC,Ara-2B
ascG,Ara-2B
ascF,Ara-2B
hycC,Ara-2B
relA,Ara-2B
sdaC,Ara-2B
gshB,Ara-2B
ECB_02838,Ara-2B
ECB_02857,Ara-2B
yqhG,Ara-2B
yqiH,Ara-2B
agaY,Ara-2B
agaC,Ara-2B
infB,Ara-2B
yhdP,Ara-2B
acrF,Ara-2B
yhfS,Ara-2B
yhjJ,Ara-2B
spoT,Ara-2B
kup,Ara-2B
hslU,Ara-2B
rplA,Ara-2B
iclR,Ara-2B
yjbH,Ara-2B
phnC,Ara-2B
mutL,Ara-2B
ECB_04073,Ara-2B
valS,Ara-2B
sgcX,Ara-2B
hsdM,Ara-2B
yjjM,Ara-2B
nadR,Ara-2B
aes,Ara-3A
ybcQ,Ara-3A
mrdB,Ara-3A
lysQ,Ara-3A
pflB,Ara-3A
ldrC,Ara-3A
topA,Ara-3A
pykF,Ara-3A
ECB_01992,Ara-3A
dam,Ara-3A
malT,Ara-3A
hslU,Ara-3A
ytfN,Ara-3A
eaeH,Ara-3B
ybcQ,Ara-3B
mrdB,Ara-3B
phoH,Ara-3B
dinI,Ara-3B
ldrC,Ara-3B
topA,Ara-3B
pykF,Ara-3B
fadL,Ara-3B
malT,Ara-3B
hslU,Ara-3B
ytfN,Ara-3B
mrdA,Ara-4A
ybiA,Ara-4A
pykF,Ara-4A
ECB_02851,Ara-4A
argR,Ara-4A
fis,Ara-4A
malT,Ara-4A
spoT,Ara-4A
iclR,Ara-4A
