gene_list,time
mreB,500
yhgF,500
pykF,1000
yijC,1000
nadR,1000
rhsD,1500
pykF,1500
mreB,1500
trkH,1500
rhsD,2000
sapD,2000
pykF,2000
mreB,2000
trkH,2000
ycdG,5000
fabF,5000
pykF,5000
csiD,5000
hybO,5000
mreB,5000
yhdG,5000
rplF,5000
rpsC,5000
trkH,5000
hslU,5000
iclR,5000
fabF,10000
pykF,10000
pykA,10000
srlB,10000
hybO,10000
mreB,10000
yhdG,10000
rplF,10000
rpsC,10000
malT,10000
trkH,10000
hslU,10000
iclR,10000
fabF,15000
pykF,15000
pykF,15000
galF,15000
dedD,15000
ascF,15000
hybO,15000
mreB,15000
yhdG,15000
rplF,15000
rpsC,15000
malT,15000
yhhT,15000
trkH,15000
hslU,15000
iclR,15000
actP,15000
hsdS,15000
nadR,15000
arcA,15000
hofB,20000
prpR,20000
torC,20000
fabF,20000
pykF,20000
ECB_02816,20000
ECB_02821,20000
hybO,20000
mreB,20000
yhdG,20000
rplF,20000
rpsC,20000
trkH,20000
fdoG,20000
hslU,20000
iclR,20000
plsB,20000
hsdM,20000
nadR,20000
thrA,30000
lon,30000
aroG,30000
ybjE,30000
solA,30000
rne,30000
fabF,30000
pykF,30000
pykF,30000
galF,30000
cirA,30000
ccmA,30000
dedD,30000
dedD,30000
ascF,30000
hybO,30000
mreB,30000
yhdG,30000
acrF,30000
rplF,30000
rpsC,30000
malT,30000
yhhT,30000
rbsD,30000
trkH,30000
hslU,30000
iclR,30000
metH,30000
malE,30000
actP,30000
hfq,30000
hsdS,30000
nadR,30000
arcA,30000
thrA,40000
yadG,40000
glnD,40000
dnaE,40000
lon,40000
aroG,40000
ybjE,40000
solA,40000
rne,40000
fabF,40000
pykF,40000
pykF,40000
yedV,40000
galF,40000
bglX,40000
cirA,40000
ccmA,40000
dedD,40000
dedD,40000
ECB_02364,40000
ascF,40000
hybO,40000
mreB,40000
yhdG,40000
acrF,40000
rplF,40000
rpsC,40000
malT,40000
yhhT,40000
glmS,40000
rbsD,40000
trkH,40000
hslU,40000
iclR,40000
metH,40000
malE,40000
actP,40000
hfq,40000
yjgN,40000
hsdS,40000
nadR,40000
arcA,40000
thrA,50000
insB-1,50000
yadG,50000
glnD,50000
dnaE,50000
clpX,50000
lon,50000
aroG,50000
ybjE,50000
solA,50000
rne,50000
fabF,50000
pykF,50000
pykF,50000
yedV,50000
wbbA,50000
galF,50000
cirA,50000
ccmA,50000
dedD,50000
dedD,50000
ECB_02364,50000
ppx,50000
ascF,50000
hybO,50000
hflB,50000
argR,50000
mreB,50000
yhdG,50000
acrF,50000
rplF,50000
rpsC,50000
malT,50000
yhhT,50000
glmS,50000
rbsD,50000
trkH,50000
hslU,50000
metL,50000
iclR,50000
metH,50000
malE,50000
actP,50000
actP,50000
hfq,50000
mpl,50000
yjgN,50000
hsdS,50000
nadR,50000
arcA,50000
